looking for LSL streams...
success to: NIC (type: Markers)
sample: 0.0 Hz
canaux: 1
success to: NIC (type: EEG)
sample: 500.0 Hz
canaux: 20
success to: NIC (type: Quality)
sample: 1.0 Hz
canaux: 20
success to: NIC (type: Accelerometer)
sample: 100.0 Hz
canaux: 3
[NIC] [EEG] [EEG-20ch] Time: 1062208.455 | EEG: ['-4895.07', '-5920.22', '-5690.05', '-4525.71', '-18821.81', '-18767.22', '-10837.22', '-18622.59', '-5566.07', '-5696.35', '-5947.40', '-5533.60', '-16309.79', '-18749.95', '-12914.66', '-10113.19', '-7668.21', '-8116.20', '-7953.36', '-13748.55']
[NIC] [EEG] [EEG-20ch] Time: 1062208.457 | EEG: ['-4890.58', '-5915.55', '-5684.81', '-4520.13', '-18820.91', '-18766.02', '-10833.55', '-18620.78', '-5560.68', '-5690.29', '-5942.44', '-5529.02', '-16304.78', '-18748.38', '-12909.27', '-10107.95', '-7662.73', '-8110.95', '-7948.02', '-13744.97']
[NIC] [Accelerometer] [3ch] Time: 1062208.455 | Marker: ['186.00', '-343.00', '9286.00']
[NIC] [EEG] [EEG-20ch] Time: 1062208.459 | EEG: ['-4856.40', '-5880.93', '-5650.47', '-4486.85', '-18810.94', '-18756.34', '-10800.46', '-18608.52', '-5526.83', '-5656.24', '-5908.63', '-5494.45', '-16270.26', '-18738.84', '-12875.18', '-10074.66', '-7629.16', '-8078.10', '-7914.73', '-13711.12']
[NIC] [EEG] [EEG-20ch] Time: 1062208.461 | EEG: ['-4879.81', '-5904.48', '-5673.50', '-4509.73', '-18818.05', '-18762.78', '-10822.73', '-18613.91', '-5549.67', '-5680.56', '-5931.57', '-5518.01', '-16293.48', '-18745.47', '-12897.25', '-10097.12', '-7652.14', '-8100.84', '-7937.53', '-13732.53']
[NIC] [EEG] [EEG-20ch] Time: 1062208.463 | EEG: ['-4877.66', '-5903.34', '-5671.79', '-4507.35', '-18817.19', '-18762.16', '-10820.68', '-18614.91', '-5548.43', '-5678.32', '-5930.00', '-5515.86', '-16291.67', '-18744.42', '-12896.59', '-10094.83', '-7651.76', '-8099.56', '-7935.38', '-13730.53']
[NIC] [EEG] [EEG-20ch] Time: 1062208.465 | EEG: ['-4894.02', '-5919.60', '-5687.29', '-4524.66', '-18821.72', '-18766.98', '-10836.22', '-18620.30', '-5564.12', '-5694.39', '-5945.97', '-5531.12', '-16307.31', '-18748.95', '-12911.66', '-10110.04', '-7667.02', '-8114.91', '-7952.60', '-13746.64']
[NIC] [Accelerometer] [3ch] Time: 1062208.465 | Marker: ['186.00', '-264.00', '9365.00']
[NIC] [EEG] [EEG-20ch] Time: 1062208.467 | EEG: ['-4891.68', '-5916.21', '-5684.90', '-4522.37', '-18821.34', '-18766.26', '-10833.65', '-18620.49', '-5562.12', '-5691.62', '-5943.35', '-5529.74', '-16305.50', '-18748.90', '-12910.13', '-10108.14', '-7664.49', '-8112.72', '-7949.69', '-13746.21']
[NIC] [Accelerometer] [3ch] Time: 1062208.475 | Marker: ['186.00', '-304.00', '9365.00']
